Year,Department,Programme,Activity,Value
2015,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"10,043,132"
2015,MFEM Corporate Services,Financial And Economic Management,Government Financial Services,"48,525"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"359,580,727"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"11,550,312"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"2,984,160"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"202,085,549"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"105,018,378"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"1,052,257"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"1,070,000"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"13,071,613"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"250,000"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"2,075,609"
2015,National Statistics Office,National Statistics,Provincial Statistics Offices,"7,613,500"
2015,National Statistics Office,National Statistics,Provincial Statistics Offices,"261,705"
2015,National Statistics Office,National Statistics,Provincial Statistics Offices,"169,875"
2015,National Statistics Office,National Statistics,Provincial Statistics Offices,"1,154,760"
2015,National Statistics Office,National Statistics,Provincial Statistics Offices,"7,113,322"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"3,567,499"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"24,384,391"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"826,250"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"195,195,505"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"2,837,533"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"38,538,062"
2016,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"34,271,936"
2016,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"5,678,125"
2016,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"-250,000"
2016,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"3,279,880"
2016,MFEM Corporate Services,Financial And Economic Management,Government Financial Services,"1,681,875"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"1,002,984,462"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"257,550"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"63,648,255"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"195,000"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"3,857,567"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"4,834,024"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"201,000"
2016,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"10,133,560"
2016,National Statistics Office,National Statistics,Provincial Statistics Offices,"21,619,468"
2016,National Statistics Office,National Statistics,Provincial Statistics Offices,"-58,000"
2016,National Statistics Office,National Statistics,Provincial Statistics Offices,"2,465,366"
2016,National Statistics Office,National Statistics,Provincial Statistics Offices,"10,143,964"
2016,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"221,051"
2016,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"5,137,716"
2016,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"4,410"
2016,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"60,569,105"
2016,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"5,883,560"
2016,Department of Finance & Treasury,Grants to Institutions,Utility Regulatory Authority,"16,144,000"
2017,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"42,464,232"
2017,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"-132,161"
2017,Department of Finance & Treasury,Executive Management and Corporate Services,Corporate Services,"4,988,483"
2017,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"11,046,100"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"-60,000"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"46,893,903"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"136,429"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"8,655,941"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"19,373,333"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"1,750,197"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"9,354,013"
2017,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"10,000,000"
2017,National Statistics Office,National Statistics,Provincial Statistics Offices,"-423,475"
2017,National Statistics Office,National Statistics,Provincial Statistics Offices,"435,920"
2017,National Statistics Office,National Statistics,Provincial Statistics Offices,"11,513,243"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Grants to Institutions,"24,184,040"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"84,263"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"-554,940"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"16,430,444"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"920,163,536"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"29,027,405"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"59,920,965"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"102,191,441"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"11,420,152"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"466,450"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"5,091,673"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"9,662,090"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"849,900"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"4,697,475"
2017,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"30,331,790"
2017,Department of Customs and Inland Revenue,Revenue Collection,Rates and Taxes Collection,"30,959,820"
2018,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"17,802,413"
2018,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"4,614,501"
2018,Department of Finance & Treasury,Executive Management and Corporate Services,Corporate Services,"499,340"
2018,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"3,578,740"
2018,Department of Finance & Treasury,Financial And Economic Management,Economic Policy Development,"40,095,015"
2018,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"14,147,256"
2018,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"6,640,000"
2018,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"75,027"
2018,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"11,030,546"
2018,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"-233,655"
2018,National Statistics Office,National Statistics,Provincial Statistics Offices,"10,814,611"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"1,786,080"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"2,746,061"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"1,690,597,378"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"5,533,571"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"8,534,640"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"9,213,166"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"23,409,560"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"1,516,090"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"-346,320"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"22,620,975"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"47,460,000"
2018,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"57,270,000"
2018,Department of Customs and Inland Revenue,Revenue Collection,VAT Collections,"5,175,000"
2018,Department of Customs and Inland Revenue,Revenue Collection,Rates and Taxes Collection,"-34,290"
2018,Department of Finance & Treasury,Government Contributions to International Organisation,Government Contributions to International Organisation,"20,000,000"
2019,MFEM Corporate Services,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"15,983,957"
2019,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"4,216,834"
2019,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"62,036,500"
2019,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"6,119,885"
2019,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"28,600"
2019,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"1,100,860"
2019,Department of Finance & Treasury,Financial And Economic Management,Economic Policy Development,"-283,558"
2019,MFEM Corporate Services,Financial And Economic Management,Government Financial Services,"1,409,280"
2019,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"1,321,924"
2019,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"30,826,019"
2019,National Statistics Office,National Statistics,Provincial Statistics Offices,"11,047,025"
2019,National Statistics Office,National Statistics,Provincial Statistics Offices,"40,806,428"
2019,National Statistics Office,National Statistics,Provincial Statistics Offices,"456,960"
2019,National Statistics Office,National Statistics,Provincial Statistics Offices,"566,300"
2019,National Statistics Office,National Statistics,Provincial Statistics Offices,"493,101"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"1,080,110"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"40,088,467"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"-55,700"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"-1,769,250"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"-4,052,897"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"4,814,777"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"131,023"
2019,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"1,000,000"
2019,Department of Customs and Inland Revenue,Revenue Collection,Rates and Taxes Collection,"9,885,154"
2019,Department of Customs and Inland Revenue,Revenue Collection,Rates and Taxes Collection,"80,000,000"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,725,800"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,781,500"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"528,190"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"15,387,749"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"4,945,800"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"10,174,925"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"23,423,785"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"6,536,563"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"19,439,660"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"28,600"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"839,600"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"7,196,600"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"7,623,010"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"200,000"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,610,450"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"4,600,800"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"115,800"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"9,052,100"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"9,927,075"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"9,793,400"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"10,060,300"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"7,200,600"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"5,195,375"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"2,585,076"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"9,414,486"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"5,629,275"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"8,499,200"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"6,120,175"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"4,590,000"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,949,870"
2019,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"843,170"
2020,MFEM Corporate Services,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"31,029,463"
2020,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"16,143,337"
2020,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"30,000"
2020,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"22,609"
2020,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"148,787,532"
2020,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"11,642,001"
2020,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"10,192,333"
2020,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"600,000"
2020,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"17,722,341"
2020,MFEM Corporate Services,Financial And Economic Management,Government Financial Services,"939,520"
2020,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"35,822,065"
2020,National Statistics Office,National Statistics,Provincial Statistics Offices,"8,509,633"
2020,National Statistics Office,National Statistics,Provincial Statistics Offices,"3,890,517"
2020,National Statistics Office,National Statistics,Provincial Statistics Offices,"2,573,385"
2020,National Statistics Office,National Statistics,Provincial Statistics Offices,"147,735,675"
2020,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"273,685,664"
2020,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"-5,000"
2020,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"857,000"
2020,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"38,297,767"
2020,MFEM Corporate Services,Revenue Collection,VAT Collections,"500,000"
2020,Department of Customs and Inland Revenue,Revenue Collection,Rates and Taxes Collection,"43,673,771"
2020,Department of Finance & Treasury,Emergency,Response,"120,010,000"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"393,085,863"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"121,295,433"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"29,048,828"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,110,710"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,800
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"-4,813,998"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"5,549,116"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"9,226,965"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,800
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"11,046,335"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"15,770,102"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"6,635,600"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,076,600"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"4,615,911"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"329,889"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,200
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"2,093,670"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"3,995,252"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"155,130,921"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"3,779,288"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"7,714,415"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"4,778,075"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"8,035,655"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,800
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"4,645,966"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"379,034"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"3,910,800"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"10,575,595"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,548,700"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"4,811,142"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"17,114,958"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,947,800"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"6,351,394"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"2,801,357"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"10,492,166"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"9,994,300"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,355,873"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,800
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"99,800"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"34,680,479"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"12,543,650"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"134,983,518"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"57,912,569"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"1,450,100"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"5,851,350"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"-1,582,600"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"145,305,321"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"14,914,570"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"12,476,558"
2020,Department of Finance & Treasury,Public Works,Development and Maintenance of Government Infrastructure,"430,985,406"